N,chi_max_mean,chi_max_std,lambda_c_mean,lambda_c_std,psi_peak_mean,psi_peak_std
256,2.174206405686443,0.022506589456507957,0.9262626262626262,0.004123720105695568,0.8437378246278899,0.0084427144303866
512,2.18663295829406,0.004822658740844503,0.932996632996633,0.009523323652344031,0.8551955929248288,0.019959003981433354
1024,2.223108918777252,0.0038856914803010647,0.9313131313131313,0.02061860052847793,0.8452267799883533,0.044921975830284525
2048,2.3839260802177855,0.004090355705621948,0.9498316498316498,0.008584207935341407,0.8753442349933155,0.020251477665839422
4096,2.8081130099536296,0.0023220344178213935,0.964983164983165,0.002380830913086034,0.8911635723720998,0.006684868735485342
8192,4.155346910039178,0.01743158784895371,0.9803797468354432,0.003164556962025278,0.8829888659446996,0.013103901442103938
