lambda,seed,self_pred_mean,cross_pred_mean
0.85,42,0.6773968533758112,0.0
0.85,43,0.6784911117112865,0.0
1.043,42,0.9962250482163253,0.21760738291005594
1.043,43,0.9955697999355997,0.11650074740926862
1.2,42,0.9831435375610229,0.0012509088786159027
1.2,43,0.9830944566983462,0.0007326144189145441
