gamma_0,chi_max,lambda_c_chi,FWHM
0.0,2.4034280692399292,0.9508474576271186,0.14830508474576265
0.01,2.4000040615731635,0.9567796610169491,0.14830508474576265
0.05,2.383721862697371,0.9449152542372881,0.14830508474576265
0.1,2.3783294290058805,0.9389830508474576,0.14237288135593218
