gamma_0,psi_global,psi_global_std,lyap_mean,psi_cross,R_eff
0.0,0.9963274402145528,1.4965241843188426e-05,0.00017002598547708204,0.0,508.2232166822111
0.001,0.9963307198065238,1.2197947765834034e-05,8.72647215163877e-05,0.0,620.6616896723867
0.005,0.9962995105094792,5.8459665551670556e-05,2.691041047357916e-05,0.0,622.2642400202402
0.01,0.9963226958369696,1.5693880921181782e-05,-0.00011262236826285173,0.0,561.7120490169893
0.02,0.9963373270806303,1.711150585775958e-05,6.525113484458462e-05,0.01296759804177607,768.3804285133397
0.05,0.9964442174287024,0.00011248999150552758,-0.0011093787842693136,0.353110773119835,625.3867565275701
0.1,0.9965811277282097,3.787281275747442e-05,-0.003692146522389518,0.6476935596365027,473.70306723228646
0.2,0.996743411572735,0.00019138919991902064,-0.01102636920967482,0.7849228722234397,608.0966294758614
